Label,Genotype,Array,Texture,disc_or_top,Growth,gpd
M1T1A,M1,A,T1,T,22.33,0.0618
M1T3A,M1,A,T3,T,8.93,0.0247
M2T1A,M2,A,T1,D,10.61,0.0294
M2T2A,M2,A,T2,T,10.49,0.0291
M3T1A,M3,A,T1,T,7.89,0.0218
M3T2A,M3,A,T2,T,16.98,0.0470
M1T1B,M1,B,T1,T,7.27,0.0201
M1T2B,M1,B,T2,T,5.25,0.0145
M1T3B,M1,B,T3,T,11.22,0.0311
M2T3B,M2,B,T3,T,3.87,0.0107
M3T1B,M3,B,T1,T,12.69,0.0351
M3T2B,M3,B,T2,T,10.84,0.0300
M3T3B,M3,B,T3,T,10.51,0.0291
M1T1C,M1,C,T1,T,8.73,0.0242
M2T3C,M2,C,T3,T,1.17,0.0032
M3T3C,M3,C,T3,T,6.48,0.0179
M1T2D,M1,D,T2,T,10.27,0.0285
M1T3D,M1,D,T3,T,5.07,0.0140
M2T2D,M2,D,T2,T,6.13,0.0170
M2T3D,M2,D,T3,T,9.02,0.0250
M3T2D,M3,D,T2,T,9.63,0.0267
